age_binary,age_bucketized,sex_binary,race_C,score,rank,juv_fel_count_C,decile_score_C,juv_misd_count_C,juv_other_count_C,priors_count_C,days_b_screening_arrest_C,c_days_from_compas_C,c_charge_degree_C,v_decile_score_C,start_C,end_C,event_C,MarriageStatus_C,is_recid,is_violent_recid,two_year_recid,Violence_score,Recidivism_score
1,1,0,0,2.238959544690792,1,0,1,0,0,2,0,0,0,0,2,2,1,0,1,0,1,-2.27,0.18
0,0,1,2,2.236669358321557,2,0,1,0,2,0,2,2,1,1,1,1,1,0,0,1,1,-1.3592685151851025,1.3126388278069498
1,1,0,2,2.233999422734481,3,0,1,0,0,2,1,0,0,1,0,0,1,3,1,0,1,-1.0313816699690002,-2.247433112083853
0,0,1,2,2.2326061589743333,4,2,0,2,2,1,2,1,0,1,0,1,1,1,0,0,0,-1.3074695907857907,1.2480213358599244
1,1,1,2,2.2288306271400686,5,3,1,1,1,2,0,1,1,1,1,0,1,5,0,1,0,0.8059521865176462,1.411569817325538
0,1,1,2,2.2286467274644113,6,3,1,0,1,0,2,1,0,1,1,0,1,0,1,1,0,0.9136930207143212,-2.722479012542284
1,0,1,1,2.2286184140083183,7,2,0,0,2,3,2,2,0,1,1,1,0,1,1,1,0,-1.7871116107061429,-2.121089480768639
0,0,1,2,2.2269549720442803,8,1,0,0,1,3,1,2,0,0,1,0,1,3,0,0,0,-4.01017198896435,-1.7914486245372057
1,1,0,2,2.2269190941812727,9,2,1,2,2,2,2,0,0,1,1,1,0,0,1,0,1,-0.9995835315078114,0.2747140593002117
0,0,1,1,2.2262450475133826,10,2,0,0,0,2,2,0,0,1,0,1,0,2,1,0,1,-2.036452165772892,-0.9557618529888208
0,0,0,0,2.2257266791514563,11,2,0,0,1,3,0,2,1,0,2,1,1,5,0,1,1,-0.02338631935735957,-0.3969873414518692
1,1,0,0,2.2244069323097793,12,1,1,2,0,0,0,2,0,1,2,2,1,0,0,1,1,-4.462918954691366,0.13637886844450264
1,1,0,2,2.2233095205160014,13,0,1,2,2,1,2,1,0,1,1,1,0,0,0,1,0,0.8772531383451581,-0.9240222141642578
1,1,1,1,2.2228282789358444,14,0,1,1,2,2,2,0,1,1,2,2,0,5,1,0,0,-0.8241050816236841,-1.7813000762540625
1,1,1,2,2.2216439839699755,15,2,0,2,1,3,1,1,1,1,2,0,1,5,1,1,0,-0.6360536857094452,1.297608065405127
1,0,1,0,2.219329092466578,16,0,0,2,2,0,2,2,1,1,1,2,1,3,0,0,1,0.28251288779357875,-1.4590058918090676
0,0,1,2,2.219161770080187,17,3,0,1,1,2,0,2,0,0,2,0,1,2,0,1,1,-2.071799905579128,0.1043936148085396
1,1,1,0,2.2183145410478367,18,2,0,2,0,2,0,0,0,1,1,0,1,6,0,1,0,0.12723862306840414,-2.488914274622123
1,1,0,0,2.2177021674737727,19,1,0,1,2,2,1,2,0,0,1,2,0,1,1,0,0,-3.324375626798848,-1.4992137296661794
0,1,1,0,2.2164277101472747,20,0,1,1,0,0,0,0,0,0,2,2,1,0,1,1,1,-3.03907759869728,-2.4556177447974856
0,0,0,0,2.2154882488888834,21,0,1,0,1,1,2,2,0,0,0,2,0,6,0,0,1,-2.728929230727589,0.9247865455783651
1,1,0,2,2.2153086555943027,22,0,1,1,1,0,0,1,0,1,2,1,0,0,0,1,0,-1.0731078120652602,-1.23593426706617
0,0,1,1,2.213865131362696,23,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,-0.8212260412975452,-0.07975523170848353
1,1,1,1,2.2131054196755557,24,2,1,2,1,2,2,0,0,1,0,1,0,4,0,1,1,0.7184557491081653,1.2375765845008289
0,0,1,0,2.21120402133887,25,3,0,0,0,3,1,1,0,1,0,0,0,2,1,0,1,-4.021628643587817,1.231645267320005
1,0,0,0,2.2104350581919237,26,1,1,2,0,2,1,2,0,0,0,0,0,3,0,0,0,-3.09248626022451,-2.4361398777122494
1,0,0,2,2.2093192422212033,27,3,1,0,2,0,1,0,0,1,2,0,0,1,1,0,0,-3.995936459455471,0.35909351924566035
1,0,1,1,2.208104609384556,28,3,0,2,0,0,1,2,0,0,1,1,1,2,1,0,1,-1.2378235666854387,-2.408186727067908
1,0,1,1,2.207131906440485,29,2,0,0,0,0,0,1,0,1,1,0,0,3,1,1,1,-2.548432522429944,-0.5238894321750065
0,0,0,2,2.2069849440751117,30,0,1,2,2,2,2,2,0,1,2,2,0,4,1,1,0,-0.8447681619258254,1.1097195014786214
0,0,0,1,2.2053059243957875,31,2,0,1,2,2,0,1,1,1,0,1,0,4,0,0,1,-0.3851389817708428,-2.9810948591680764
1,1,1,1,2.204985320208722,32,3,0,2,1,3,2,2,0,1,2,0,0,0,1,1,1,-4.219839531045731,0.24061134310025034
0,1,1,0,2.2046773039766294,33,3,1,2,1,1,2,1,1,0,0,1,0,3,0,0,0,-0.13665411381590076,-2.2629190162071127
1,0,0,1,2.2040880258015463,34,1,0,2,1,3,1,0,0,0,2,1,0,1,0,1,0,-4.481000330761182,-2.8093669992354493
0,0,1,2,2.203293215082688,35,2,0,2,1,1,1,1,0,1,1,0,0,2,0,1,0,-3.5507029191090766,-0.8097021373153672
1,0,0,2,2.203168877660453,36,2,1,1,2,3,1,1,1,1,0,1,0,5,1,1,1,-1.3766841048587422,0.7345808505613816
1,0,1,0,2.2020971535999743,37,2,1,1,0,2,1,1,0,1,1,0,1,4,1,0,0,-3.6126764905753843,0.06761820005310071
0,0,1,0,2.2018392083128284,38,2,1,0,0,0,2,2,0,0,1,1,1,5,0,0,0,-3.076954850863145,-2.953289508362744
1,1,1,1,2.2010014892214125,39,0,1,2,2,2,2,0,0,0,0,0,0,1,0,1,1,0.2266155513300623,-2.9869913433311845
0,0,1,2,2.1994934132339043,40,1,0,2,2,0,0,0,0,1,1,1,0,1,0,1,1,-1.6576443965389664,-2.9893992479887097
1,1,1,1,2.19922287408087,41,2,1,2,2,1,1,2,1,1,1,0,0,3,0,0,1,-0.20952081654745136,-1.7475144507347695
0,0,0,0,2.197687780142211,42,3,1,2,2,2,1,1,0,0,0,0,1,2,1,0,0,-2.169125750775554,0.1921264589400371
1,1,1,0,2.1961344447079183,43,1,1,0,2,1,2,1,1,1,1,1,1,2,1,0,0,-4.255551038846274,-2.462675479528476
0,1,0,0,2.1960904427416787,44,1,1,1,0,3,2,0,1,0,1,1,1,2,1,0,1,-2.8899149721980404,-0.3266556298150869
1,0,0,1,2.1945915043645647,45,0,1,2,0,0,0,2,0,0,1,0,0,4,1,0,0,-3.1213420337511266,-0.8138942089429402
0,1,1,1,2.1933356770021466,46,1,1,0,1,2,0,1,1,1,1,2,0,4,1,1,0,-0.15161760741720798,-1.6533251134955445
0,1,0,2,2.1922199033954497,47,3,0,1,2,2,1,2,1,0,0,1,0,1,0,1,0,-0.7181886298548315,-1.213513004822229
0,0,1,2,2.1915383080652364,48,0,0,0,0,0,2,0,1,0,0,0,0,5,1,0,0,-0.8060563728293988,-1.1664247794958231
0,0,0,1,2.191091925810673,49,2,0,1,1,3,1,0,1,1,2,0,1,0,0,0,1,-2.134521510518527,0.1784527716819344
1,1,1,2,2.191029269567484,50,0,1,2,1,2,2,1,0,0,1,0,1,0,0,0,1,-2.47753786307068,0.4415993661440489
0,0,0,2,2.189881827921167,51,3,0,1,0,1,0,1,1,0,0,2,1,3,1,0,1,-3.175820674099949,-2.043328523640422
1,1,0,2,2.1897238073884657,52,3,1,2,1,1,2,0,0,1,0,1,1,5,0,0,0,-4.59807645887409,0.3394896125335083
